,0
372,"33.772075,-117.301693,2013-01-07T12:00:00"
373,"33.772075,-117.301693,2013-01-08T12:00:00"
374,"33.772075,-117.301693,2013-01-09T12:00:00"
375,"33.772075,-117.301693,2013-01-10T12:00:00"
376,"33.772075,-117.301693,2013-01-11T12:00:00"
377,"33.772075,-117.301693,2013-01-12T12:00:00"
378,"33.772075,-117.301693,2013-01-13T12:00:00"
379,"33.772075,-117.301693,2013-01-14T12:00:00"
380,"33.772075,-117.301693,2013-01-15T12:00:00"
381,"33.772075,-117.301693,2013-01-16T12:00:00"
382,"33.772075,-117.301693,2013-01-17T12:00:00"
383,"33.772075,-117.301693,2013-01-18T12:00:00"
384,"33.772075,-117.301693,2013-01-19T12:00:00"
385,"33.772075,-117.301693,2013-01-20T12:00:00"
386,"33.772075,-117.301693,2013-01-21T12:00:00"
387,"33.772075,-117.301693,2013-01-22T12:00:00"
388,"33.772075,-117.301693,2013-01-23T12:00:00"
389,"33.772075,-117.301693,2013-01-24T12:00:00"
390,"33.772075,-117.301693,2013-01-25T12:00:00"
391,"33.772075,-117.301693,2013-01-26T12:00:00"
392,"33.772075,-117.301693,2013-01-27T12:00:00"
393,"33.772075,-117.301693,2013-01-28T12:00:00"
394,"33.772075,-117.301693,2013-01-29T12:00:00"
395,"33.772075,-117.301693,2013-01-30T12:00:00"
396,"33.772075,-117.301693,2013-01-31T12:00:00"
397,"33.772075,-117.301693,2013-02-01T12:00:00"
398,"33.772075,-117.301693,2013-02-02T12:00:00"
399,"33.772075,-117.301693,2013-02-03T12:00:00"
400,"33.772075,-117.301693,2013-02-04T12:00:00"
401,"33.772075,-117.301693,2013-02-05T12:00:00"
402,"33.772075,-117.301693,2013-02-06T12:00:00"
403,"33.772075,-117.301693,2013-02-07T12:00:00"
404,"33.772075,-117.301693,2013-02-08T12:00:00"
405,"33.772075,-117.301693,2013-02-09T12:00:00"
406,"33.772075,-117.301693,2013-02-10T12:00:00"
407,"33.772075,-117.301693,2013-02-11T12:00:00"
